AUC,F1 score,acc_normal,acc_bruise,acc_chilling,acc_infection,acc_wrinkled
itr0,0.9474186033404101,0.8918406072106262,0.8589108910891089,0.9166666666666666,0.8333333333333334,0.9666666666666667,0.8394160583941606
itr1,0.9527589381329027,0.9013282732447818,0.8712871287128713,0.9416666666666667,0.85,0.9933333333333333,0.8102189781021898
itr2,0.9394198433126044,0.8785578747628083,0.8415841584158416,0.9,0.7416666666666667,0.9866666666666667,0.8613138686131386
itr3,0.9301905048189828,0.8823529411764706,0.8465346534653465,0.9333333333333333,0.8666666666666667,0.9066666666666666,0.8248175182481752
itr4,0.9252916752775846,0.8690702087286527,0.8292079207920792,0.9666666666666667,0.8666666666666667,0.98,0.6642335766423357
itr5,0.940655118642794,0.8918406072106262,0.8589108910891089,0.8916666666666667,0.8,0.9866666666666667,0.8686131386861314
itr6,0.9535667988051177,0.9089184060721063,0.8811881188118812,0.975,0.8,0.9733333333333334,0.8759124087591241
itr7,0.9499126383226558,0.8861480075901328,0.8514851485148515,0.925,0.8416666666666667,0.9933333333333333,0.7737226277372263
itr8,0.9359230277866496,0.8804554079696395,0.844059405940594,0.9416666666666667,0.8583333333333333,0.9866666666666667,0.7299270072992701
itr9,0.9085755349728519,0.8481973434535104,0.801980198019802,0.95,0.8083333333333333,0.9333333333333333,0.7007299270072993
total_mean,0.9383712683412554,0.8838709677419354,0.8485148514851485,0.9341666666666667,0.8266666666666668,0.9706666666666667,0.7948905109489052
95_interval,0.008294905291822486,0.009990649395110874,0.013032357007978768,0.015742825526428066,0.023191032749750488,0.01685549353244284,0.04388410428840966
